"number","district","region","category_name","zap","np","pp","zak","mon","dpbg","max","zap_is_max","np_is_max","pp_is_max","zak_is_max","mon_is_max","dpbg_is_max","none_is_max","max_fcat_names","category_level"
1,1,1,"ресурсный_резерват",0.33,0.28,0.39,0.83,0.44,0.39,0.83,0,0,0,1,0,0,0,"zak",3
2,1,1,"охраняемый_ландшафт",0.56,0.78,0.44,0.72,0.56,0.56,0.78,0,1,0,0,0,0,0,"np",3
3,1,1,"уникальное_озеро",0.56,0.56,0.33,0.72,0.67,0.67,0.72,0,0,0,1,0,0,0,"zak",3
5,1,2,"рекреационно-оздоровительный_природный_комплекс",0.33,0.67,0.78,0.72,0.67,0.33,0.78,0,0,1,0,0,0,0,"pp",2
6,1,2,"ландшафтный_природный_парк",0.67,0.67,0.56,0.61,0.5,0.39,0.67,0,0,0,0,0,0,1,"none",2
7,1,3,"зона_покоя",0.72,0.5,0.5,0.67,0.5,0.61,0.72,1,0,0,0,0,0,0,"zap",2
8,1,3,"природный_объект",0.44,0.44,0.56,0.83,0.78,0.56,0.83,0,0,0,1,0,0,0,"zak",2
9,1,4,"экологический_коридор",0.44,0.33,0.44,0.94,0.56,0.5,0.94,0,0,0,1,0,0,0,"zak",1
10,1,4,"водно-болотное_угодье",0.67,0.56,0.56,0.94,0.5,0.56,0.94,0,0,0,1,0,0,0,"zak",1
11,1,4,"парковая_зона",0.56,0.5,0.72,0.56,0.5,0.44,0.72,0,0,1,0,0,0,0,"pp",2
12,1,4,"сквер",0.44,0.5,0.83,0.61,0.67,0.39,0.83,0,0,1,0,0,0,0,"pp",2
14,1,4,"природный_рекреационный_комплекс",0.5,0.44,0.78,0.61,0.56,0.5,0.78,0,0,1,0,0,0,0,"pp",2
15,1,4,"охраняемый_природный_объект",0.44,0.56,0.78,0.72,0.44,0.5,0.78,0,0,1,0,0,0,0,"pp",2
20,1,6,"охраняемый_природный_ландшафт",0.61,0.72,0.83,0.72,0.44,0.39,0.83,0,0,1,0,0,0,0,"pp",2
21,1,6,"охраняемая_береговая_линия",0.72,0.61,0.83,0.78,0.61,0.61,0.83,0,0,1,0,0,0,0,"pp",2
22,1,6,"памятник_садово-паркового_искусства",0.5,0.56,0.67,0.5,0.44,0.56,0.67,0,0,0,0,0,0,1,"none",2
23,2,7,"государственный_природный_микрозаказник",0.61,0.39,0.5,0.78,0.61,0.61,0.78,0,0,0,1,0,0,0,"zak",1
24,2,7,"биологическая_станция",0.61,0.44,0.56,0.56,0.61,0.61,0.61,0,0,0,0,0,0,1,"none",1
25,2,7,"водоохранная_зона_и_прибрежная_защитная_полоса",0.5,0.5,0.61,0.89,0.67,0.44,0.89,0,0,0,1,0,0,0,"zak",1
26,2,7,"запретная_полоса_леса_расположенная_вдоль_водного_объекта",0.61,0.39,0.72,0.89,0.67,0.56,0.89,0,0,0,1,0,0,0,"zak",1
27,2,8,"микрозаказник",0.5,0.39,0.5,0.78,0.72,0.56,0.78,0,0,0,1,0,0,0,"zak",3
28,2,8,"учебно-научный_стационар",0.61,0.44,0.56,0.56,0.61,0.61,0.61,0,0,0,0,0,0,1,"none",1
29,2,8,"охраняемый_водный_объект",0.78,0.44,0.67,0.78,0.56,0.61,0.78,1,0,0,1,0,0,0,"zap+zak",3
30,2,8,"охраняемая_зелёная_зона",0.67,0.61,0.83,0.67,0.61,0.5,0.83,0,0,1,0,0,0,0,"pp",3
31,2,8,"лесопарковая_зона_населённого_пункта",0.56,0.5,0.94,0.72,0.67,0.39,0.94,0,0,1,0,0,0,0,"pp",2
32,2,9,"природный_ландшафт",0.72,0.39,0.61,0.83,0.56,0.67,0.83,0,0,0,1,0,0,0,"zak",2
33,2,9,"природно-антропогенный_ландшафт",0.61,0.5,0.5,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",2
34,2,9,"природный_микрозаказник",0.56,0.33,0.56,0.94,0.56,0.56,0.94,0,0,0,1,0,0,0,"zak",2
35,2,9,"природный_микрорезерват",0.56,0.44,0.44,0.78,0.5,0.5,0.78,0,0,0,1,0,0,0,"zak",2
36,2,9,"особо_охраняемая_территория_природно-исторического_назначения",0.33,0.56,0.67,0.72,0.67,0.33,0.72,0,0,0,1,0,0,0,"zak",2
37,2,9,"особо_охраняемая_территория_водных_объектов",0.44,0.56,0.56,0.78,0.67,0.44,0.78,0,0,0,1,0,0,0,"zak",2
